dataset,model,graph_mode,seeding,technique,seed,n_parameters,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
BasicMotions,dcrnn,adaptive_nosvd_random_predef_seed123,noSVD,none,123,204073,1.0,1.0,1.0,1.0,1.0
BasicMotions,dcrnn,adaptive_nosvd_random_predef_seed42,noSVD,none,42,204073,1.0,1.0,1.0,1.0,1.0
BasicMotions,dcrnn,adaptive_nosvd_random_predef_seed456,noSVD,none,456,204073,1.0,1.0,1.0,1.0,1.0
BasicMotions,dcrnn,adaptive_nosvd_random_predef_seed789,noSVD,none,789,204073,1.0,1.0,1.0,1.0,1.0
BasicMotions,dcrnn,adaptive_random_predef_seed1024,SVD,none,1024,204229,1.0,1.0,1.0,1.0,1.0
BasicMotions,dcrnn,adaptive_random_predef_seed123,SVD,none,123,204229,1.0,1.0,1.0,1.0,1.0
BasicMotions,dcrnn,adaptive_random_predef_seed42,SVD,none,42,204229,1.0,1.0,1.0,1.0,1.0
BasicMotions,dcrnn,adaptive_random_predef_seed456,SVD,none,456,204229,1.0,1.0,1.0,1.0,1.0
BasicMotions,dcrnn,adaptive_random_predef_seed789,SVD,none,789,204229,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_gru,adaptive_nosvd_random_predef_seed1024,noSVD,none,1024,105769,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_gru,adaptive_nosvd_random_predef_seed123,noSVD,none,123,105769,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_gru,adaptive_nosvd_random_predef_seed42,noSVD,none,42,105769,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_gru,adaptive_nosvd_random_predef_seed456,noSVD,none,456,105769,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_gru,adaptive_nosvd_random_predef_seed789,noSVD,none,789,105769,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_gru,adaptive_random_predef_seed1024,SVD,none,1024,105925,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_gru,adaptive_random_predef_seed123,SVD,none,123,105925,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_gru,adaptive_random_predef_seed42,SVD,none,42,105925,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,gconv_gru,adaptive_random_predef_seed456,SVD,none,456,105925,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_gru,adaptive_random_predef_seed789,SVD,none,789,105925,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,gconv_lstm,adaptive_nosvd_random_predef_seed1024,noSVD,none,1024,138665,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_lstm,adaptive_nosvd_random_predef_seed123,noSVD,none,123,138665,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_lstm,adaptive_nosvd_random_predef_seed42,noSVD,none,42,138665,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_lstm,adaptive_nosvd_random_predef_seed456,noSVD,none,456,138665,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,gconv_lstm,adaptive_nosvd_random_predef_seed789,noSVD,none,789,138665,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_lstm,adaptive_random_predef_seed1024,SVD,none,1024,138821,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_lstm,adaptive_random_predef_seed123,SVD,none,123,138821,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_lstm,adaptive_random_predef_seed42,SVD,none,42,138821,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,gconv_lstm,adaptive_random_predef_seed456,SVD,none,456,138821,1.0,1.0,1.0,1.0,1.0
BasicMotions,gconv_lstm,adaptive_random_predef_seed789,SVD,none,789,138821,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,adaptive_nosvd_random_predef_seed1024,noSVD,none,1024,105770,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,adaptive_nosvd_random_predef_seed123,noSVD,none,123,105770,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,adaptive_nosvd_random_predef_seed42,noSVD,none,42,105770,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,adaptive_nosvd_random_predef_seed456,noSVD,none,456,105770,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,adaptive_nosvd_random_predef_seed789,noSVD,none,789,105770,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,hybrid_tgnn,adaptive_random_predef_seed1024,SVD,none,1024,105926,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,adaptive_random_predef_seed123,SVD,none,123,105926,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,adaptive_random_predef_seed42,SVD,none,42,105926,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,hybrid_tgnn,adaptive_random_predef_seed456,SVD,none,456,105926,1.0,1.0,1.0,1.0,1.0
BasicMotions,hybrid_tgnn,adaptive_random_predef_seed789,SVD,none,789,105926,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_correlation_mean,SVD,correlation,42,106055,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_correlation_mean,SVD,correlation,123,106055,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_correlation_mean,SVD,correlation,456,106055,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_correlation_mean,SVD,correlation,789,106055,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_correlation_mean,SVD,correlation,1024,106055,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_correlation_meanstd,SVD,correlation,42,106055,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_correlation_meanstd,SVD,correlation,123,106055,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,a3tgcn,adaptive_correlation_meanstd,SVD,correlation,456,106055,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_correlation_meanstd,SVD,correlation,789,106055,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,a3tgcn,adaptive_correlation_meanstd,SVD,correlation,1024,106055,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_correlation_nothresh,SVD,correlation,42,106055,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_correlation_nothresh,SVD,correlation,123,106055,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_correlation_nothresh,SVD,correlation,456,106055,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,a3tgcn,adaptive_correlation_nothresh,SVD,correlation,789,106055,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_correlation_nothresh,SVD,correlation,1024,106055,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_correlation_top50,SVD,correlation,42,106055,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,a3tgcn,adaptive_correlation_top50,SVD,correlation,123,106055,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_correlation_top50,SVD,correlation,456,106055,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,a3tgcn,adaptive_correlation_top50,SVD,correlation,789,106055,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_correlation_top50,SVD,correlation,1024,106055,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_nosvd_correlation_mean,noSVD,correlation,42,105899,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_nosvd_correlation_mean,noSVD,correlation,123,105899,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_nosvd_correlation_mean,noSVD,correlation,456,105899,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,a3tgcn,adaptive_nosvd_correlation_mean,noSVD,correlation,789,105899,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,a3tgcn,adaptive_nosvd_correlation_mean,noSVD,correlation,1024,105899,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,a3tgcn,adaptive_nosvd_correlation_meanstd,noSVD,correlation,42,105899,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_nosvd_correlation_meanstd,noSVD,correlation,123,105899,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_nosvd_correlation_meanstd,noSVD,correlation,456,105899,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,a3tgcn,adaptive_nosvd_correlation_meanstd,noSVD,correlation,789,105899,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_nosvd_correlation_meanstd,noSVD,correlation,1024,105899,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_nosvd_correlation_nothresh,noSVD,correlation,42,105899,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_nosvd_correlation_nothresh,noSVD,correlation,123,105899,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_nosvd_correlation_nothresh,noSVD,correlation,456,105899,0.975,0.974937343358396,0.974937343358396,0.9772727272727272,0.975
BasicMotions,a3tgcn,adaptive_nosvd_correlation_nothresh,noSVD,correlation,789,105899,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_nosvd_correlation_nothresh,noSVD,correlation,1024,105899,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_nosvd_correlation_top50,noSVD,correlation,42,105899,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_nosvd_correlation_top50,noSVD,correlation,123,105899,1.0,1.0,1.0,1.0,1.0
BasicMotions,a3tgcn,adaptive_nosvd_correlation_top50,noSVD,correlation,456,105899,1.0,1.0,1.0,1.0,1.0
